country,year,population
England,2011,53107169
England,2012,53506812
England,2013,53918686
England,2014,54370319
England,2015,54808676
England,2016,55289034
England,2017,55619548
England,2018,55924528
England,2019,56230056
England,2020,56325961
England,2021,56554891
England,2022,57144395
England,2023,57932470
England,2024,58620101
England,2025,58829244
England,2026,58951205
Scotland,2011,5299900
Scotland,2012,5308200
Scotland,2013,5316800
Scotland,2014,5331400
Scotland,2015,5350600
Scotland,2016,5373600
Scotland,2017,5388200
Scotland,2018,5392100
Scotland,2019,5411200
Scotland,2020,5408900
Scotland,2021,5412900
Scotland,2022,5447000
Scotland,2023,5506000
Scotland,2024,5546900
Scotland,2025,5549297
Scotland,2026,5546779
